pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_disc,pl_status,pl_mnum
61 Vir,d,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,,,,,,,,,,,,,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir d,0,1,0,0,0,0,,,,,314,20,-20,0,,,,,,,,,22.9,2.6,-2.6,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
70 Vir,b,Radial Velocity,1,116.6884,0.0044,-0.0044,0,0.484,0.028,-0.028,0,0.4007,0.0035,-0.0035,0,7.49,0.61,-0.61,0,,,,,,,,,,,,,,,,,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,4.98,,0,0,5545,,0,0,1.11,,0,0,,,,,HD 117176,HIP 65721,70 Vir b,0,1,0,0,0,0,2447239.82,0.21,-0.21,0,358.71,0.54,-0.54,0,,,,,2380.45,193.87,-193.87,0,,,,,,,,,,,,,,,,,,,,,,,,,1996,3,0
75 Cet,b,Radial Velocity,1,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,3,,,0,,,,,,,,,,,,,,,,,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,6.87,-8.27,0,5.35,,0,0,4846,18,0,0,2.49,0.02,0,0,10.5,1,0,0,HD 15779,HIP 11791,75 Cet b,0,1,0,0,0,0,2452213,54,-54,0,165,28,-28,0,,,,,953.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2012,3,0
81 Cet,b,Radial Velocity,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,,,,,,,,,,,,,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,5.65,,0,0,4785,25,0,0,2.4,0.1,0,0,11,2,0,0,HD 16400,HIP 12247,81 Cet b,0,1,0,0,0,0,2452486,26,-26,0,175,6.9,-6.9,0,,,,,,,,,1684.4,,,0,,,,,,,,,,,,,,,,,,,,,2008,3,0
91 Aqr,b,Radial Velocity,1,181.4,0.1,-0.1,0,0.7,,,0,0.027,0.026,-0.026,0,,,,,3.2,,,0,,,,,,,,,,,,,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4.25,,0,0,4665,18,0,0,1.4,0.1,0,0,11,0.1,0,0,HD 219449,HIP 114855,91 Aqr b,0,1,0,0,0,0,2453472.1,24.5,-24.5,0,177.3,0.8,-0.8,0,,,,,,,,,1017,,,0,,,,,,,,,,,,,,,,,,,,,2013,3,0
AB Pic,b,Imaging,1,,,,,260,,,0,,,,,13.5,0.5,-0.5,0,,,,,,,,,,,,,,,,,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,1.64,-1.76,0,9.128,0.019,0,0,,,,,,,,,,,,,HD 44627,HIP 30034,AB Pic b,0,0,1,0,0,0,,,,,,,,,,,,,4290.5,158.9,-158.9,0,,,,,,,,,,,,,,,,,,,,,,,,,2005,3,0
CT Cha,b,Imaging,1,,,,,440,,,0,,,,,17,6,-6,0,,,,,2.2,0.81,-0.6,0,,,,,,,,,0,0,11h04m09.09s,166.037872,-76d27m19.4s,-76.455383,165,30,-30,0,,,,,,,,,,,,,,,,,,,CT Cha b,0,0,1,0,0,0,,,,,,,,,2600,250,-250,0,5403,1907,-1907,0,,,,,24.66,9.08,-6.73,0,0.226,0.083,-0.062,0,,,,,,,,,,,,,2007,3,0
DH Tau,b,Imaging,1,,,,,330,,,0,,,,,11,10,-3,0,,,,,,,,,,,,,,,,,0,0,04h29m41.56s,67.423157,+26d32m58.3s,26.54952,140,15,-15,0,,,,,,,,,0.33,,0,0,0.27,0.07,0,0,,,DH Tau b,0,0,1,0,0,0,,,,,,,,,,,,,3496,3178,-953,0,,,,,,,,,,,,,,,,,,,,,,,,,2004,3,0
DP Leo,b,Eclipse Timing Variations,1,10220,730,-730,0,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,,,,,6.05,0.47,-0.58,0,,,,,,,,,,,,,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,,,,,,,,,0.69,,0,0,,,,,,,DP Leo b,0,0,0,0,0,0,2453025,500,-500,0,-78,20,-20,0,,,,,,,,,1922.79,149.37,-149.37,0,,,,,,,,,,,,,,,,,,,,,2009,3,0
FU Tau,b,Imaging,1,,,,,800,,,0,,,,,15.711,,,0,,,,,,,,,,,,,,,,,0,0,04h23m35.74s,65.898911,+25d02m59.6s,25.049898,,,,,,,,,,,,,,,,,,,,,,,FU Tau b,0,0,1,0,0,0,,,,,,,,,2375,,,0,4993.107,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2008,3,0
GQ Lup,b,Imaging,1,,,,,100,,,0,,,,,20,,,0,,,,,3,0.5,-0.5,0,,,,,,,,,0,0,15h49m12.10s,237.30043,-35d39m05.1s,-35.651421,139,45,-45,0,12.43,,0,0,,,,,0.7,,0,0,,,,,,,GQ Lup b,0,0,1,0,0,0,,,,,,,,,2650,100,-100,0,6356,,,0,,,,,33.6,5.6,-5.6,0,0.308,0.051,-0.051,0,,,,,,,,,,,,,2004,3,0
GU Psc,b,Imaging,1,,,,,2000,200,-200,0,,,,,11.3,1.7,-1.7,0,,,,,1.265,0.115,-0.115,0,,,,,,,,,0,0,01h12m35.04s,18.146006,+17d03m55.7s,17.065475,48,5,-5,0,13.55,,0,0,,,,,0.33,0.03,0,0,,,,,,,GU Psc b,0,0,1,0,0,0,,,,,,,,,1050,50,-50,0,3591.3,540.3,-540.3,0,,,,,14.179,1.289,-1.289,0,0.13,0.012,-0.012,0,,,,,,,,,,,,,2014,3,0
HN Peg,b,Imaging,1,,,,,773,13,-13,0,,,,,21.9987,9.42803,-9.42803,0,,,,,1.051,0.136,-0.058,0,,,,,,,,,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.39,0.28,-0.29,0,5.95,0.01,0,0,,,,,,,,,,,,,HD 206860,HIP 107350,HN Peg b,0,0,1,0,0,0,,,,,,,,,,,,,6991.57,2996.39,-2996.39,0,,,,,11.777,1.527,-0.654,0,0.108,0.014,-0.006,0,,,,,,,,,,,,,2006,3,0
NN Ser,c,Eclipse Timing Variations,2,5573.55,102.2,-102.2,0,5.35,0.06,-0.06,0,0.08,0.05,-0.05,0,7.33,0.31,-0.31,0,,,,,,,,,,,,,,,,,0,0,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500,,,0,,,,,57000,,0,0,0.54,,0,0,,,,,,,NN Ser c,0,0,0,0,0,0,2454016,106,-106,0,43,119,-119,0,,,,,2329.6,98.52,-98.52,0,,,,,,,,,,,,,,,,,,,,,,,,,2010,3,0
