pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_disc,pl_status,pl_mnum
Kepler-84,c,Transit,5,12.883,,,0,,,,,,,,,,,,,,,,,0.211,0.01,-0.01,0,,,,,,,,,1,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031,143,0,0,1,0.42,0,0,1.17,0.22,0,0,,,Kepler-84 c,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.36,0.11,-0.11,0,0.022,0.001,-0.001,0,,,,,,,,,,,,,2012,3,0
Kepler-84,d,Transit,5,4.224537,0.000042,-0.000042,0,0.052,,,0,,,,,,,,,,,,,0.123,0.024,-0.024,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031,143,0,0,1,0.42,0,0,1.17,0.22,0,0,,,Kepler-84 d,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.38,0.27,-0.27,0,0.013,0.003,-0.003,0,,,,,0.1322,0.0067,-0.0067,0,2454968.433,0.00594,-0.00594,0,2014,3,0
Kepler-84,e,Transit,5,27.434389,0.000224,-0.000224,0,0.181,,,0,,,,,,,,,,,,,0.232,0.044,-0.044,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031,143,0,0,1,0.42,0,0,1.17,0.22,0,0,,,Kepler-84 e,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.6,0.49,-0.49,0,0.024,0.004,-0.004,0,,,,,0.2134,0.0055,-0.0055,0,2454978.125,0.00408,-0.00408,0,2014,3,0
Kepler-84,f,Transit,5,44.552169,0.000812,-0.000812,0,0.25,,,0,,,,,,,,,,,,,0.196,0.038,-0.038,0,,,,,,,,,0,1,19h53m00.49s,298.252045,+40d29m45.9s,40.496075,,,,,,,,,6031,143,0,0,1,0.42,0,0,1.17,0.22,0,0,,,Kepler-84 f,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.2,0.43,-0.43,0,0.02,0.004,-0.004,0,,,,,0.2442,0.0172,-0.0172,0,2454993.291,0.01186,-0.01186,0,2014,3,0
Kepler-85,b,Transit,4,8.306,,,0,,,,,,,,,,,,,,,,,0.176,0.009,-0.009,0,,,,,,,,,1,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436,100,0,0,0.92,0.4,0,0,0.89,0.13,0,0,,,Kepler-85 b,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.97,0.1,-0.1,0,0.018,0.001,-0.001,0,,,,,,,,,,,,,2012,3,0
Kepler-85,c,Transit,4,12.513,,,0,,,,,,,,,,,,,,,,,0.194,0.009,-0.009,0,,,,,,,,,1,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436,100,0,0,0.92,0.4,0,0,0.89,0.13,0,0,,,Kepler-85 c,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.18,0.1,-0.1,0,0.02,0.001,-0.001,0,,,,,,,,,,,,,2012,3,0
Kepler-85,d,Transit,4,17.91323,0.000266,-0.000266,0,0.13,,,0,,,,,,,,,,,,,0.107,0.017,-0.017,0,,,,,,,,,0,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436,100,0,0,0.92,0.4,0,0,0.89,0.13,0,0,,,Kepler-85 d,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.2,0.19,-0.19,0,0.011,0.002,-0.002,0,,,,,0.1879,0.0106,-0.0106,0,2454968.538,0.0095,-0.0095,0,2014,3,0
Kepler-85,e,Transit,4,25.216751,0.000718,-0.000718,0,0.163,,,0,,,,,,,,,,,,,0.113,0.018,-0.018,0,,,,,,,,,0,1,19h23m53.62s,290.973419,+45d17m25.1s,45.290318,,,,,,,,,5436,100,0,0,0.92,0.4,0,0,0.89,0.13,0,0,,,Kepler-85 e,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.27,0.2,-0.2,0,0.012,0.002,-0.002,0,,,,,0.1701,0.019,-0.019,0,2454985.688,0.01695,-0.01695,0,2014,3,0
PH2,b,Transit,1,282.5255,0.001,-0.001,0,0.828,0.009,-0.009,0,0.41,0.08,-0.29,0,,,,,,,,,0.903,0.05,-0.05,0,,,,,89.83,0.03,-0.02,0,0,1,19h19m03.26s,289.76358,+51d57m45.4s,51.962601,,,,,,,,,5629,42,0,0,0.94,0.02,0,0,1,0.05,0,0,,,PH2 b,1,1,0,0,0,0,,,,,3.44,53.86,-3.44,0,281,7,-7,0,,,,,,,,,10.12,0.56,-0.56,0,0.093,0.005,-0.005,0,0.9882,0.0126,-0.0126,0,0.4375,,,0,2455195.571,,,0,2013,3,0
Kepler-87,b,Transit,2,114.73635,0.00015,-0.00015,0,0.481,0.026,-0.028,0,0.036,0.009,-0.009,0,1.02,0.028,-0.028,0,,,,,1.204,0.049,-0.049,0,0.729,0.026,-0.026,0,89.274,0.034,-0.03,0,0,1,19h51m40.05s,297.91687,+46d57m54.5s,46.96513,,,,,,,,,5600,50,0,0,1.1,0.05,0,0,1.82,0.04,0,0,,,Kepler-87 b,1,0,0,0,0,0,,,,,238.6,27.6,-27.6,0,478,4,-4,0,324.2,8.8,-8.8,0,,,,,13.49,0.55,-0.55,0,0.124,0.005,-0.005,0,,,,,,,,,,,,,2013,3,0
Kepler-87,c,Transit,2,191.2318,0.0015,-0.0015,0,0.676,0.037,-0.04,0,0.039,0.012,-0.012,0,0.02,0.003,-0.003,0,,,,,0.548,0.026,-0.026,0,0.152,0.019,-0.019,0,89.588,0.031,-0.027,0,0,1,19h51m40.05s,297.91687,+46d57m54.5s,46.96513,,,,,,,,,5600,50,0,0,1.1,0.05,0,0,1.82,0.04,0,0,,,Kepler-87 c,1,0,0,0,0,0,,,,,223.2,18.8,-18.8,0,403,4,-4,0,6.4,0.8,-0.8,0,,,,,6.14,0.29,-0.29,0,0.056,0.003,-0.003,0,,,,,,,,,,,,,2013,3,0
KOI-142,b,Transit,2,10.95416,0.00011,-0.00013,0,,,,,0.05593,0.00047,-0.00031,0,0.027,0.008,-0.008,0,,,,,0.337,0.035,-0.032,0,0.87,0.42,-0.31,0,89.055,0.074,-0.07,0,1,1,19h24m35.54s,291.148102,+40d40m09.9s,40.669407,339,25,-23,0,,,,,5471,50,0,0,0.96,0.04,0,0,0.88,0.03,0,0,,,KOI-142 b,1,1,0,0,0,0,,,,,90.59,1.45,-0.81,0,,,,,8.7,2.5,-2.5,0,,,,,3.78,0.39,-0.36,0,0.035,0.004,-0.003,0,,,,,0.1367,0.0083,-0.0071,0,2454954.627,,,0,2013,3,0
KOI-142,c,Transit Timing Variations,2,22.3395,0.0019,-0.0017,0,0.15525,,,0,0.05628,0.0014,-0.0028,0,0.626,0.029,-0.033,0,,,,,,,,,,,,,86.2,1.3,-1.6,0,0,1,19h24m35.54s,291.148102,+40d40m09.9s,40.669407,339,25,-23,0,,,,,5471,50,0,0,0.96,0.04,0,0,0.88,0.03,0,0,,,KOI-142 c,0,1,0,0,0,0,,,,,270.76,1.82,-0.99,0,,,,,198.8,9.2,-10.6,0,,,,,,,,,,,,,,,,,,,,,,,,,2013,3,0
KOI-94,b,Transit,4,3.743208,0.000015,-0.000015,0,0.05119,0.00067,-0.00067,0,0.25,0.17,-0.17,0,0.033,0.014,-0.014,0,,,,,0.153,0.014,-0.014,0,10.1,5.5,-5.5,0,89.3,0.57,-0.57,0,0,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182,58,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,KOI-94 b,1,1,0,0,0,0,,,,,,,,,1486,,,0,10.5,4.6,-4.6,0,,,,,1.71,0.16,-0.16,0,0.016,0.002,-0.002,0,,,,,,,,,2454964.618,0.0021,-0.0021,0,2013,3,0
KOI-94,c,Transit,4,10.423648,0.000016,-0.000016,0,0.1013,0.0013,-0.0013,0,0.43,0.23,-0.23,0,0.049,0.018,-0.049,0,,,,,0.385,0.037,-0.037,0,0.91,0.36,-0.91,0,88.36,0.75,-0.75,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182,58,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,KOI-94 c,1,1,0,0,0,0,,,,,,,,,1012,,,0,15.6,5.7,-15.6,0,,,,,4.32,0.41,-0.41,0,0.04,0.004,-0.004,0,,,,,,,,,2454971.009,0.00103,-0.00103,0,2013,3,0
KOI-94,d,Transit,4,22.342989,0.0000067,-0.0000067,0,0.1684,0.0022,-0.0022,0,0.022,0.038,-0.038,0,0.334,0.035,-0.035,0,,,,,1.005,0.095,-0.095,0,0.363,0.101,-0.101,0,89.871,0.123,-0.123,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182,58,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,KOI-94 d,1,1,0,0,0,0,,,,,,,,,806,,,0,106,11,-11,0,,,,,11.27,1.06,-1.06,0,0.103,0.01,-0.01,0,,,,,,,,,2454965.741,0.00015,-0.00015,0,2013,3,0
KOI-94,e,Transit,4,54.32031,0.00012,-0.00012,0,0.3046,0.004,-0.004,0,0.019,0.23,-0.23,0,0.11,0.057,-0.088,0,,,,,0.585,0.055,-0.055,0,0.6,0.26,-0.56,0,89.76,0.15,-0.15,0,1,1,19h49m19.94s,297.333069,+41d53m28.0s,41.891117,,,,,,,,,6182,58,0,0,1.28,0.05,0,0,1.52,0.14,0,0,,,KOI-94 e,1,1,0,0,0,0,,,,,,,,,584,,,0,35,18,-28,0,,,,,6.56,0.62,-0.62,0,0.06,0.006,-0.006,0,,,,,,,,,2454994.238,0.0012,-0.0012,0,2013,3,0
KOI-351,b,Transit,7,7.008151,0.000019,-0.000019,0,0.074,0.016,-0.016,0,,,,,,,,,,,,,0.117,0.015,-0.015,0,,,,,89.4,1.5,-1.5,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 b,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.31,0.17,-0.17,0,0.012,0.002,-0.002,0,,,,,0.1663,0.0063,-0.0063,0,2454970.691,0.0017,-0.0017,0,2013,3,0
KOI-351,c,Transit,7,8.719375,0.000027,-0.000027,0,0.089,0.012,-0.012,0,,,,,,,,,,,,,0.106,0.012,-0.012,0,,,,,89.68,0.74,-0.74,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 c,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.19,0.14,-0.14,0,0.011,0.001,-0.001,0,,,,,0.1838,0.0075,-0.0075,0,2454972.569,0.0023,-0.0023,0,2013,3,0
KOI-351,d,Transit,7,59.73667,0.00038,-0.00038,0,0.32,0.05,-0.05,0,,,,,,,,,,,,,0.256,0.027,-0.027,0,,,,,89.71,0.29,-0.29,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 d,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.87,0.3,-0.3,0,0.026,0.003,-0.003,0,,,,,0.35,0.0079,-0.0079,0,2454991.966,0.0042,-0.0042,0,2013,3,0
KOI-351,e,Transit,7,91.93913,0.00073,-0.00073,0,0.42,0.06,-0.06,0,,,,,,,,,,,,,0.237,0.026,-0.026,0,,,,,89.79,0.19,-0.19,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 e,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.66,0.29,-0.29,0,0.024,0.003,-0.003,0,,,,,0.4046,0.0079,-0.0079,0,2454967.313,0.0063,-0.0063,0,2013,3,0
KOI-351,f,Transit,7,124.9144,0.0019,-0.0019,0,0.48,0.09,-0.09,0,,,,,,,,,,,,,0.257,0.046,-0.046,0,,,,,89.77,0.31,-0.31,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 f,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.88,0.52,-0.52,0,0.026,0.005,-0.005,0,,,,,0.4558,0.0104,-0.0104,0,2455087.704,0.014,-0.014,0,2013,3,0
KOI-351,g,Transit,7,210.60697,0.00043,-0.00043,,0.71,0.08,-0.08,0,,,,,,,,,,,,,0.723,0.071,-0.071,0,,,,,89.8,0.06,-0.06,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 g,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8.1,0.8,-0.8,0,0.074,0.007,-0.007,0,,,,,0.5247,0.0019,-0.0019,0,2454980.036,0.0014,-0.0014,0,2013,3,0
KOI-351,h,Transit,7,331.60059,0.00037,-0.00037,0,1.01,0.11,-0.11,0,,,,,,,,,,,,,1.008,0.089,-0.089,0,,,,,89.6,1.3,-1.3,0,0,1,18h57m44.04s,284.433502,+49d18m18.6s,49.305161,780,100,-100,0,,,,,6080,260,0,0,1.2,0.1,0,0,1.2,0.1,0,0,,,KOI-351 h,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11.3,1,-1,0,0.104,0.009,-0.009,0,,,,,0.614,0.0019,-0.0019,0,2454973.496,0.00082,-0.00082,0,2013,3,0
Kepler-91,b,Transit,1,6.24658,0.000082,-0.000082,0,0.072,0.002,-0.007,0,0.066,0.013,-0.017,0,0.88,0.17,-0.33,0,,,,,1.384,0.011,-0.054,0,0.44,0.13,-0.07,0,68.5,1,-1.6,0,0,1,19h02m41.49s,285.672882,+44d07m00.2s,44.116734,1030,150,-130,0,,,,,4550,75,0,0,1.31,0.1,0,0,6.3,0.16,0,0,,,Kepler-91 b,1,0,0,0,0,0,,,,,316.8,21,-7.4,0,,,,,279.68,54.03,-104.88,0,,,,,15.513,0.123,-0.605,0,0.142,0.001,-0.006,0,,,,,,,,,,,,,2013,3,0
Kepler-92,b,Transit,2,13.749,,,0,,,,,,,,,0.202,0.044,-0.044,0,,,,,0.313,0.009,-0.009,0,,,,,,,,,1,1,19h16m20.65s,289.08606,+41d33m46.6s,41.562943,,,,,,,,,5883,,0,0,1.21,0.08,0,0,1.7,0.05,0,0,,,Kepler-92 b,1,0,0,0,0,0,,,,,,,,,,,,,64.3,13.9,-13.9,0,,,,,3.51,0.1,-0.1,0,0.032,0.001,-0.001,0,,,,,,,,,,,,,2013,3,0
Kepler-92,c,Transit,2,26.723,,,0,,,,,,,,,0.019,0.006,-0.006,0,,,,,0.232,0.007,-0.007,0,,,,,,,,,1,1,19h16m20.65s,289.08606,+41d33m46.6s,41.562943,,,,,,,,,5883,,0,0,1.21,0.08,0,0,1.7,0.05,0,0,,,Kepler-92 c,1,0,0,0,0,0,,,,,,,,,,,,,6.1,1.8,-1.8,0,,,,,2.6,0.08,-0.08,0,0.024,0.001,-0.001,0,,,,,,,,,,,,,2013,3,0
Kepler-93,b,Transit,2,4.72674,,,0,,,,,,,,,0.008,0.006,-0.006,0,,,,,0.134,0.003,-0.003,0,4.17,3.29,-3.29,0,,,,,0,1,19h25m40.39s,291.418274,+38d40m20.5s,38.672356,,,,,,,,,5669,75,0,0,0.91,0.06,0,0,0.92,0.02,0,0,,,Kepler-93 b,1,1,0,0,0,0,,,,,,,,,,,,,2.59,2,-2,0,,,,,1.5,0.03,-0.03,0,0.014,0,0,0,,,,,,,,,2454967.926,,,0,2014,3,0
Kepler-93,c,Radial Velocity,2,1460,,,-1,,,,,,,,,3,,,-1,,,,,,,,,,,,,,,,,0,1,19h25m40.39s,291.418274,+38d40m20.5s,38.672356,,,,,,,,,5669,75,0,0,0.91,0.06,0,0,0.92,0.02,0,0,,,Kepler-93 c,0,1,0,0,0,0,,,,,,,,,,,,,954,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,2014,3,0
Kepler-94,b,Transit,2,2.50806,,,0,,,,,,,,,0.034,0.004,-0.004,0,,,,,0.313,0.013,-0.013,0,1.45,0.26,-0.26,0,,,,,0,1,18h44m46.74s,281.194733,+47d29m49.7s,47.497147,,,,,,,,,4781,98,0,0,0.81,0.06,0,0,0.76,0.03,0,0,,,Kepler-94 b,1,1,0,0,0,0,,,,,,,,,,,,,10.84,1.4,-1.4,0,,,,,3.51,0.15,-0.15,0,0.032,0.001,-0.001,0,,,,,,,,,2454968,,,0,2014,3,0
Kepler-94,c,Radial Velocity,2,820.3,3,-3,0,,,,,,,,,9.836,0.629,-0.629,0,,,,,,,,,,,,,,,,,0,1,18h44m46.74s,281.194733,+47d29m49.7s,47.497147,,,,,,,,,4781,98,0,0,0.81,0.06,0,0,0.76,0.03,0,0,,,Kepler-94 c,0,1,0,0,0,0,,,,,,,,,,,,,3126,200,-200,0,,,,,,,,,,,,,,,,,,,,,,,,,2014,3,0
Kepler-95,b,Transit,1,11.5231,,,0,,,,,,,,,0.041,0.009,-0.009,0,,,,,0.305,0.008,-0.008,0,1.71,0.37,-0.37,0,,,,,0,1,18h57m55.79s,284.482452,+44d23m52.9s,44.398037,,,,,,,,,5699,74,0,0,1.08,0.08,0,0,1.41,0.04,0,0,,,Kepler-95 b,1,1,0,0,0,0,,,,,,,,,,,,,13,2.9,-2.9,0,,,,,3.42,0.09,-0.09,0,0.031,0.001,-0.001,0,,,,,,,,,2454964.968,,,0,2014,3,0
Kepler-96,b,Transit,1,16.2385,,,0,,,,,,,,,0.027,0.011,-0.011,0,,,,,0.238,0.02,-0.02,0,2.26,1.11,-1.11,0,,,,,0,1,19h48m16.71s,297.069641,+40d31m30.5s,40.525143,,,,,,,,,5690,73,0,0,1,0.06,0,0,1.02,0.09,0,0,,,Kepler-96 b,1,1,0,0,0,0,,,,,,,,,,,,,8.46,3.4,-3.4,0,,,,,2.67,0.22,-0.22,0,0.025,0.002,-0.002,0,,,,,,,,,2455004.019,,,0,2014,3,0
Kepler-97,b,Transit,2,2.58664,,,0,,,,,,,,,0.011,0.006,-0.006,0,,,,,0.132,0.012,-0.012,0,5.44,3.48,-3.48,0,,,,,0,1,19h09m18.39s,287.32663,+48d40m24.4s,48.673431,,,,,,,,,5779,74,0,0,0.94,0.06,0,0,0.98,0.09,0,0,,,Kepler-97 b,1,1,0,0,0,0,,,,,,,,,,,,,3.51,1.9,-1.9,0,,,,,1.48,0.13,-0.13,0,0.014,0.001,-0.001,0,,,,,,,,,2455004.841,,,0,2014,3,0
Kepler-97,c,Radial Velocity,2,789,,,-1,,,,,,,,,1.08,,,-1,,,,,,,,,,,,,,,,,0,1,19h09m18.39s,287.32663,+48d40m24.4s,48.673431,,,,,,,,,5779,74,0,0,0.94,0.06,0,0,0.98,0.09,0,0,,,Kepler-97 c,0,1,0,0,0,0,,,,,,,,,,,,,344,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,2014,3,0
Kepler-98,b,Transit,1,1.54168,,,0,,,,,,,,,0.011,0.005,-0.005,0,,,,,0.178,0.02,-0.02,0,2.18,1.21,-1.21,0,,,,,0,1,19h02m38.80s,285.661652,+37d57m52.2s,37.964504,,,,,,,,,5539,73,0,0,0.99,0.06,0,0,1.11,0.12,0,0,,,Kepler-98 b,1,1,0,0,0,0,,,,,,,,,,,,,3.55,1.6,-1.6,0,,,,,1.99,0.22,-0.22,0,0.018,0.002,-0.002,0,,,,,,,,,2455003.543,,,0,2014,3,0
Kepler-99,b,Transit,1,4.60358,,,0,,,,,,,,,0.019,0.004,-0.004,0,,,,,0.132,0.007,-0.007,0,10.9,2.82,-2.82,0,,,,,0,1,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,,,,,,,,,4782,129,0,0,0.79,0.06,0,0,0.73,0.04,0,0,,,Kepler-99 b,1,1,0,0,0,0,,,,,,,,,,,,,6.15,1.3,-1.3,0,,,,,1.48,0.08,-0.08,0,0.014,0.001,-0.001,0,,,,,,,,,2455004.839,,,0,2014,3,0
Kepler-100,b,Transit,3,6.88705,,,0,,,,,,,,,0.023,0.01,-0.01,0,,,,,0.118,0.004,-0.004,0,14.25,6.33,-6.33,0,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825,75,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,Kepler-100 b,1,1,0,0,0,0,,,,,,,,,,,,,7.34,3.2,-3.2,0,,,,,1.32,0.04,-0.04,0,0.012,0,0,0,,,,,,,,,2454966.178,,,0,2014,3,0
Kepler-100,c,Transit,3,12.8159,,,0,,,,,,,,,0.003,0.013,-0.013,0,,,,,0.196,0.004,-0.004,0,0.35,1.65,-1.65,0,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825,75,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,Kepler-100 c,1,1,0,0,0,0,,,,,,,,,,,,,0.85,4,-4,0,,,,,2.2,0.05,-0.05,0,0.02,0.001,-0.001,0,,,,,,,,,2454955.947,,,0,2014,3,0
Kepler-100,d,Transit,3,35.3331,,,0,,,,,,,,,0.009,,,1,,,,,0.144,0.004,-0.004,0,,,,,,,,,0,1,19h25m32.64s,291.385986,+41d59m25.0s,41.990273,,,,,,,,,5825,75,0,0,1.08,0.06,0,0,1.49,0.04,0,0,,,Kepler-100 d,1,1,0,0,0,0,,,,,,,,,,,,,3,,,1,,,,,1.61,0.05,-0.05,0,0.015,0.001,-0.001,0,,,,,,,,,2454986.98,,,0,2014,3,0
Kepler-101,b,Transit,2,3.487691,0.000002,-0.000002,0,0.048,,,0,,,,,,,,,,,,,0.524,0.13,-0.13,0,,,,,,,,,0,1,18h53m01.32s,283.255493,+48d21m18.8s,48.355228,,,,,,,,,5570,134,0,0,1.12,,0,0,1.67,0.41,0,0,,,Kepler-101 b,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5.87,1.46,-1.46,0,0.054,0.013,-0.013,0,,,,,0.1597,0.0005,-0.0005,0,2455003.931,0.00031,-0.00031,0,2014,3,0
Kepler-101,c,Transit,2,6.029809,0.000115,-0.000115,0,0.068,,,0,,,,,,,,,,,,,0.119,0.03,-0.03,0,,,,,,,,,0,1,18h53m01.32s,283.255493,+48d21m18.8s,48.355228,,,,,,,,,5570,134,0,0,1.12,,0,0,1.67,0.41,0,0,,,Kepler-101 c,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.33,0.34,-0.34,0,0.012,0.003,-0.003,0,,,,,0.1679,0.0141,-0.0141,0,2454965.482,0.01146,-0.01146,0,2014,3,0
Kepler-102,b,Transit,5,5.28696,,,0,,,,,,,,,0.001,0.005,-0.005,0,,,,,0.042,0.002,-0.002,0,23.29,94.93,-94.93,0,,,,,0,1,18h45m55.86s,281.482758,+47d12m28.9s,47.208031,,,,,,,,,4909,41,0,0,0.81,0.04,0,0,0.76,0.07,0,0,,,Kepler-102 b,1,1,0,0,0,0,,,,,,,,,,,,,0.41,1.6,-1.6,0,,,,,0.47,0.02,-0.02,0,0.004,0,0,0,,,,,,,,,2454968.849,,,0,2014,3,0
Kepler-102,c,Transit,5,7.07142,,,0,,,,,,,,,0.009,,,1,,,,,0.052,0.002,-0.002,0,,,,,,,,,0,1,18h45m55.86s,281.482758,+47d12m28.9s,47.208031,,,,,,,,,4909,41,0,0,0.81,0.04,0,0,0.76,0.07,0,0,,,Kepler-102 c,1,1,0,0,0,0,,,,,,,,,,,,,3,,,1,,,,,0.58,0.02,-0.02,0,0.005,0,0,0,,,,,,,,,2454972.985,,,0,2014,3,0
Kepler-102,d,Transit,5,10.3117,,,0,,,,,,,,,0.012,0.006,-0.006,0,,,,,0.105,0.004,-0.004,0,13.27,6.46,-6.46,0,,,,,0,1,18h45m55.86s,281.482758,+47d12m28.9s,47.208031,,,,,,,,,4909,41,0,0,0.81,0.04,0,0,0.76,0.07,0,0,,,Kepler-102 d,1,1,0,0,0,0,,,,,,,,,,,,,3.8,1.8,-1.8,0,,,,,1.18,0.04,-0.04,0,0.011,0,0,0,,,,,,,,,2454967.079,,,0,2014,3,0
Kepler-102,e,Transit,5,16.1457,,,0,,,,,,,,,0.028,0.006,-0.006,0,,,,,0.198,0.006,-0.006,0,4.68,1.12,-1.12,0,,,,,0,1,18h45m55.86s,281.482758,+47d12m28.9s,47.208031,,,,,,,,,4909,41,0,0,0.81,0.04,0,0,0.76,0.07,0,0,,,Kepler-102 e,1,1,0,0,0,0,,,,,,,,,,,,,8.93,2,-2,0,,,,,2.22,0.07,-0.07,0,0.02,0.001,-0.001,0,,,,,,,,,2454967.754,,,0,2013,3,0
Kepler-102,f,Transit,5,27.4536,,,0,,,,,,,,,0.002,0.01,-0.01,0,,,,,0.079,0.003,-0.003,0,4.92,24.5,-24.5,0,,,,,0,1,18h45m55.86s,281.482758,+47d12m28.9s,47.208031,,,,,,,,,4909,41,0,0,0.81,0.04,0,0,0.76,0.07,0,0,,,Kepler-102 f,1,1,0,0,0,0,,,,,,,,,,,,,0.62,3.3,-3.3,0,,,,,0.88,0.03,-0.03,0,0.008,0,0,0,,,,,,,,,2454978.026,,,0,2014,3,0
Kepler-103,b,Transit,2,15.9654,,,0,,,,,,,,,0.031,0.027,-0.027,0,,,,,0.301,0.008,-0.008,0,1.38,1.4,-1.4,0,,,,,0,1,19h15m56.29s,288.984558,+40d03m52.3s,40.064522,,,,,,,,,5845,88,0,0,1.09,0.07,0,0,1.44,0.04,0,0,,,Kepler-103 b,1,1,0,0,0,0,,,,,,,,,,,,,9.7,8.6,-8.6,0,,,,,3.37,0.09,-0.09,0,0.031,0.001,-0.001,0,,,,,,,,,2454975.176,,,0,2014,3,0
