kepid,kepoi_name,koi_pdisposition,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_vet_stat,koi_vet_date,ra,dec,koi_kepmag
8741470,K04251.01,CANDIDATE,CANDIDATE,6.2397033,1.29E-05,-1.29E-05,133.71768,1.17E-03,-1.17E-03,1.76E+02,2.29E+01,-2.29E+01,0.583,0.335,-0.335,0.068,4.24E-01,-4.24E-01,0.938,3.72E-01,-3.72E-01,88.31,5.40E+00,-5.40E+00,0.0653889,9.02E-08,-9.02E-08,0,,,,,,31.9,88.8,-88.8,0.01574,9.25E-03,-9.25E-03,1.96,1.2,-1.2,1061,210,-210,5751,157,-157,4.303,0.245,-0.245,1.143,0.449,-0.449,0,0.26,-0.26,q1_q16_stellar,Active,12/19/13,286.353394,44.961182,13.795
11125613,K02485.02,CANDIDATE,CANDIDATE,3.60084062,1.25E-05,-1.25E-05,134.03432,2.14E-03,-2.14E-03,3.25E+02,2.06E+01,-2.06E+01,2.298,0.29,-0.29,0.437,4.20E-01,-4.20E-01,0.9517,4.45E-02,-4.45E-02,77.65,5.70E+00,-5.70E+00,0.0425253,9.82E-08,-9.82E-08,0,,,,,,4.45,1.8,-1.8,0.02168,2.35E-03,-2.35E-03,1.789,0.194,-0.194,954,132,-132,5130,185,-185,4.579,0.159,-0.159,0.756,0.202,-0.202,-0.12,0.36,-0.36,q1_q16_stellar,Active,12/19/13,285.17334,48.770039,15.311
10525049,K04252.01,CANDIDATE,CANDIDATE,15.57129793,9.05E-05,-9.05E-05,136.58528,4.67E-03,-4.67E-03,1.60E+02,1.27E+01,-1.27E+01,2.219,0.253,-0.253,0.028,2.98E-01,-2.98E-01,0.3,1.61E+01,-1.61E+01,89.7,1.92E+01,-1.92E+01,0.0988335,3.83E-07,-3.83E-07,0,,,,,,52,252,-252,0.0116,1.29E-02,-1.29E-02,0.665,0.739,-0.739,391,39,-39,3842,117,-117,4.721,0.11,-0.11,0.526,0.1,-0.1,-0.1,0.2,-0.2,q1_q16_stellar,Active,12/19/13,287.364044,47.78521,13.977
9202434,K04253.01,CANDIDATE,CANDIDATE,173.2549,1.20E-03,-1.20E-03,194.4599,3.20E-03,-3.20E-03,7.11E+02,6.60E+01,-6.60E+01,1.55,0.36,-0.36,0.04,3.80E-01,-3.80E-01,0,2.30E+01,-2.30E+01,90,1.60E+00,-1.60E+00,0.638212,2.90E-06,-2.90E-06,0,,,,,,863,3840,-3840,0.025,2.20E-02,-2.20E-02,2.9,2.5,-2.5,364,26,-26,,,,,,,1.077,0,0,,,,,Active,6/6/13,283.725525,45.676849,14.201
8487645,K04254.01,FALSE POSITIVE,FALSE POSITIVE,0.5309908,9.90E-06,-9.90E-06,131.697,2.40E-03,-2.40E-03,1.62E+01,2.00E+00,-2.00E+00,2.1,3.2,-3.2,0.008,8.40E-02,-8.40E-02,0,1.23E+02,-1.23E+02,89,3.69E+03,-3.69E+03,0.0158311,2.00E-07,-2.00E-07,0,,,,,,1.9,7.7,-7.7,0.0037,3.50E-03,-3.50E-03,0.81,0.76,-0.76,4192,813,-813,,,,,,,1.989,0,0,,,,,Active,9/5/13,288.850281,44.596939,12.717
10407482,K04255.01,CANDIDATE,CANDIDATE,6.30560647,2.95E-05,-2.95E-05,131.5295,3.67E-03,-3.67E-03,2.33E+02,1.79E+01,-1.79E+01,2.486,0.15,-0.15,0.046,2.98E-01,-2.98E-01,0.5,4.40E+00,-4.40E+00,88.3,1.92E+01,-1.92E+01,0.0656949,2.05E-07,-2.05E-07,0,,,,,,17.1,47.8,-47.8,0.0141,1.23E-02,-1.23E-02,2.7,2.4,-2.4,1125,394,-394,4934,158,-158,3.927,0.634,-0.634,1.756,1.225,-1.225,0.28,0.28,-0.28,q1_q16_stellar,Active,12/19/13,292.955261,47.573101,15.056
5817613,K04256.01,FALSE POSITIVE,FALSE POSITIVE,4.20582248,4.41E-05,-4.41E-05,132.30008,8.37E-03,-8.37E-03,3.06E+02,1.88E+01,-1.88E+01,7.214,0.265,-0.265,0.653,6.98E-01,-6.98E-01,0.899,1.16E-01,-1.16E-01,65.2,1.44E+01,-1.44E+01,0.049637,3.47E-07,-3.47E-07,0,,,,,,2.141,0.888,-0.888,0.01911,2.27E-03,-2.27E-03,1.756,0.209,-0.209,1016,298,-298,5593,197,-197,4.552,0.376,-0.376,0.842,0.49,-0.49,-0.08,0.3,-0.3,q1_q16_stellar,Active,12/19/13,298.484253,41.06921,15.892
7901016,K04257.01,CANDIDATE,CANDIDATE,41.6758264,6.24E-04,-6.24E-04,169.7897,1.16E-02,-1.16E-02,1.38E+02,9.20E+00,-9.20E+00,11.34,0.68,-0.68,1.144,7.55E-01,-7.55E-01,0.9382,3.87E-02,-3.87E-02,84.99,1.70E+00,-1.70E+00,0.237386,2.37E-06,-2.37E-06,0,,,,,,10.75,3.2,-3.2,0.013371,9.30E-04,-9.30E-04,2.572,0.179,-0.179,691,151,-151,5745,174,-174,3.957,0.445,-0.445,1.763,0.764,-0.764,-0.16,0.34,-0.34,q1_q16_stellar,Active,12/19/13,295.133301,43.631432,13.34
7115925,K04258.01,FALSE POSITIVE,FALSE POSITIVE,0.566832,1.20E-05,-1.20E-05,131.7776,2.20E-03,-2.20E-03,1.80E+01,2.40E+00,-2.40E+00,1.62,0.7,-0.7,0.024,4.00E-02,-4.00E-02,0.84,3.40E-01,-3.40E-01,55,3.70E+01,-3.70E+01,0.0140662,2.00E-07,-2.00E-07,0,,,,,,1.47,0.76,-0.76,0.00439,8.40E-04,-8.40E-04,0.66,0.13,-0.13,2742,549,-549,,,,,,,1.386,0,0,,,,,Active,9/5/13,291.213379,42.625599,12.528
5785279,K04259.01,CANDIDATE,CANDIDATE,0.909178,1.20E-05,-1.20E-05,132.3828,2.00E-03,-2.00E-03,1.07E+02,1.60E+01,-1.60E+01,1.19,0.2,-0.2,0.09,6.80E-01,-6.80E-01,0.93,5.60E-01,-5.60E-01,67,8.60E+01,-8.60E+01,0.0171853,1.60E-07,-1.60E-07,0,,,,,,2.4,7,-7,0.0118,9.10E-03,-9.10E-03,1.17,0.9,-0.9,1740,609,-609,,,,,,,0.91,0,0,,,,,Active,6/6/13,290.012451,41.089989,15.195
